Index,Loss
0,523.820797961071
1,241.08554721201904
2,265.5205760539642
3,214.3992075730648
4,297.3081688834938
5,159.88039920901264
6,202.7885542696655
7,112.95145385726003
8,131.80822623995837
9,164.0237368935363
10,194.3967756285366
11,134.54710411544397
12,240.6113747736968
13,105.30483789254015
14,115.68222410543868
15,111.303546885032
16,133.20311407554632
17,170.35763450152524
18,152.80926905829503
19,134.54386118222325
20,144.6991358180057
21,1327.7686350316985
22,235.5379655049796
23,165.6372269043739
24,130.3092385191683
25,297.11740086738183
26,203.63516168900796
27,110.21786334669895
28,72.1557115075737
29,110.06259302659052
30,186.50957173148782
31,144.09232137202963
32,128.99768674238376
33,144.2160306967819
34,166.7151872658378
35,138.2402937283254
36,227.67957925435473
37,185.02472808202472
38,117.9141236806267
39,124.48648833281402
40,124.0515048014068
41,166.28928097251895
42,164.4522806000419
43,186.6141944370744
44,186.10982086870516
45,140.78023442445806
46,140.81079595147224
47,116.80227655134364
48,160.87149053210027
49,127.31435648390976
50,140.2013140761812
51,111.00831712674916
52,192.27727627790404
53,105.29989856872288
54,78.60814138398996
55,145.5828734222962
56,132.90960892307217
57,90.39665151068195
58,102.59328412212786
59,145.86186306528444
60,141.07071837331893
61,191.75578256405163
62,119.9355710233568
63,94.93839337238406
64,208.25855905797516
65,154.24768200859964
66,185.476528375334
67,124.50171401254738
68,150.46088900456294
69,171.15691284095558
70,72.9322633376818
71,65.65659589106784
72,110.07326370556218
73,129.97145267910366
74,94.72124952826391
75,129.93165618496607
76,352.84568404706255
77,83.71404925020231
78,110.85452954310036
79,132.71095711511595
80,148.22665047910942
81,187.40736069989515
82,117.83061835659444
83,150.00109632576536
84,75.9931378351788
85,102.44585478637873
86,129.79216136483183
87,128.07852452970718
88,120.10154204870595
89,122.12871080911636
90,141.04448787773143
91,164.1843123042251
92,145.15014419187207
93,110.15340785113995
94,117.77044539269137
95,127.62636145535039
96,111.57845882524833
97,121.03219663509569
98,94.91776254500635
99,146.24049765260034
100,80.41375331015209
101,79.17792509902203
102,75.20056164594001
103,112.47400353877849
104,129.74116144089314
105,134.6542626752015
106,91.40599427636464
107,88.56548491379866
108,131.01149325024434
109,95.76096496419933
110,116.03840897969457
111,81.48667515567257
112,109.09351153676126
113,110.11045940746521
114,86.98314644822736
115,129.23132351370324
116,122.29925780303644
117,104.00357469536672
118,133.83879462384246
119,141.2194628218253
120,99.18272811427013
